content,clean_tokens,stemmed,label
Ok,['ok'],['ok'],1
payah najis sumpah pembayaran nya itu doang dan giliran gua registrasi ktnya email nya dibilang fake acc kan sial trs pake pembayaran nya gabisa banking ngabisin kuota sama memori aja anjg,"['payah', 'najis', 'sumpah', 'pembayaran', 'nya', 'itu', 'doang', 'dan', 'giliran', 'gua', 'registrasi', 'ktnya', 'email', 'nya', 'dibilang', 'fake', 'acc', 'kan', 'sial', 'trs', 'pake', 'pembayaran', 'nya', 'gabisa', 'banking', 'ngabisin', 'kuota', 'sama', 'memori', 'aja', 'anjg']","['payah', 'najis', 'sumpah', 'bayar', 'doang', 'gilir', 'gua', 'registrasi', 'ktnya', 'email', 'bilang', 'fake', 'acc', 'sial', 'trs', 'pake', 'bayar', 'gabisa', 'banking', 'ngabisin', 'kuota', 'memori', 'aja', 'anjg']",0
Gak simple.. Ribet banget utk deposit masih harus gotong2 ktp ke teller bioskop.. Oi sadar ini jaman digitalisasi boss.. Ngapain lu buat aplikasi ini klo ribet masih manual gotong2 ktp hanya untuk reload..,"['gak', 'simple', 'ribet', 'banget', 'utk', 'deposit', 'masih', 'harus', 'gotong2', 'ktp', 'ke', 'teller', 'bioskop', 'oi', 'sadar', 'ini', 'jaman', 'digitalisasi', 'boss', 'ngapain', 'lu', 'buat', 'aplikasi', 'ini', 'klo', 'ribet', 'masih', 'manual', 'gotong2', 'ktp', 'hanya', 'untuk', 'reload']","['gak', 'simple', 'ribet', 'banget', 'utk', 'deposit', 'gotong2', 'ktp', 'teller', 'bioskop', 'oi', 'sadar', 'jaman', 'digitalisasi', 'boss', 'ngapain', 'lu', 'aplikasi', 'klo', 'ribet', 'manual', 'gotong2', 'ktp', 'reload']",0
Sa suka jadi ketika ingin nonton tau jam berapa dan berapa harga tiketnya,"['sa', 'suka', 'jadi', 'ketika', 'ingin', 'nonton', 'tau', 'jam', 'berapa', 'dan', 'berapa', 'harga', 'tiketnya']","['sa', 'suka', 'nonton', 'tau', 'jam', 'harga', 'tiket']",1
Not bad But i dont like it,"['not', 'bad', 'but', 'i', 'dont', 'like', 'it']","['not', 'bad', 'but', 'dont', 'like', 'it']",0
Membantu,['membantu'],['bantu'],1
sangat membantu aku banget,"['sangat', 'membantu', 'aku', 'banget']","['bantu', 'banget']",1
Bagus tu,"['bagus', 'tu']","['bagus', 'tu']",1
Bagus,['bagus'],['bagus'],1
Suip,['suip'],['suip'],1
Tidak updet untuk lokasi saya,"['tidak', 'updet', 'untuk', 'lokasi', 'saya']","['updet', 'lokasi']",0
Sering gangguan sya coba daftar dari kemarin tidak bisa bisa,"['sering', 'gangguan', 'sya', 'coba', 'daftar', 'dari', 'kemarin', 'tidak', 'bisa', 'bisa']","['ganggu', 'sya', 'coba', 'daftar', 'kemarin']",0
Biasa bae,"['biasa', 'bae']",['bae'],1
"Game ini bagussssss banget, gak usah ke bioskop, nonton aja di rumah","['game', 'ini', 'bagussssss', 'banget', 'gak', 'usah', 'ke', 'bioskop', 'nonton', 'aja', 'di', 'rumah']","['game', 'bagussssss', 'banget', 'gak', 'bioskop', 'nonton', 'aja', 'rumah']",1
Bagus buat lokasi palembang udh bagus aplikasihnya,"['bagus', 'buat', 'lokasi', 'palembang', 'udh', 'bagus', 'aplikasihnya']","['bagus', 'lokasi', 'palembang', 'udh', 'bagus', 'aplikasihnya']",1
Mantap soul,"['mantap', 'soul']","['mantap', 'soul']",1
G lengka,"['g', 'lengka']",['lengka'],0
Awesome,['awesome'],['awesome'],1
Asyik mempersingkat waktu.. G ush antri lama,"['asyik', 'mempersingkat', 'waktu', 'g', 'ush', 'antri', 'lama']","['asyik', 'singkat', 'waktu', 'ush', 'antri']",1
Cinema 21 memang hebat saya s udah banyak  sekali nonton cinema,"['cinema', '21', 'memang', 'hebat', 'saya', 's', 'udah', 'banyak', 'sekali', 'nonton', 'cinema']","['cema', '21', 'hebat', 'udah', 'nonton', 'cema']",1
Ok,['ok'],['ok'],1
mantap sangat membantu thaks buat yang bikin aplikasi ini,"['mantap', 'sangat', 'membantu', 'thaks', 'buat', 'yang', 'bikin', 'aplikasi', 'ini']","['mantap', 'bantu', 'thaks', 'bikin', 'aplikasi']",1
Sangarrr pekk,"['sangarrr', 'pekk']","['sangarrr', 'pekk']",1
Coba dulu,"['coba', 'dulu']",['coba'],0
apakah ini aplikasi tidak bisa deposit melalui transfer aja?,"['apakah', 'ini', 'aplikasi', 'tidak', 'bisa', 'deposit', 'melalui', 'transfer', 'aja']","['aplikasi', 'deposit', 'transfer', 'aja']",1
Bagus banget apa lagi aku suka film horor,"['bagus', 'banget', 'apa', 'lagi', 'aku', 'suka', 'film', 'horor']","['bagus', 'banget', 'suka', 'film', 'horor']",1
Bagus,['bagus'],['bagus'],1
Masa iya cuma credit card doang buat registrasi ?  ga ada debit nya apa ?,"['masa', 'iya', 'cuma', 'credit', 'card', 'doang', 'buat', 'registrasi', 'ga', 'ada', 'debit', 'nya', 'apa']","['iya', 'credit', 'card', 'doang', 'registrasi', 'ga', 'debit']",0
Bagus banget.....,"['bagus', 'banget']","['bagus', 'banget']",1
"Sip, buat yg suka nonton 😊😊😊","['sip', 'buat', 'yg', 'suka', 'nonton']","['sip', 'yg', 'suka', 'nonton']",1
Good,['good'],['good'],1
Aplikasi sangat membantu.. lebih mudah lg kalau pesan online pake gopay/grabpay jd ga harus antri panjang.. Soalnya kl pake mtix harus punya kartu kredit..tidak semua orang punya kartu kredit..,"['aplikasi', 'sangat', 'membantu', 'lebih', 'mudah', 'lg', 'kalau', 'pesan', 'online', 'pake', 'gopay/grabpay', 'jd', 'ga', 'harus', 'antri', 'panjang', 'soalnya', 'kl', 'pake', 'mtix', 'harus', 'punya', 'kartu', 'kredit', 'tidak', 'semua', 'orang', 'punya', 'kartu', 'kredit']","['aplikasi', 'bantu', 'mudah', 'lg', 'pesan', 'online', 'pake', 'gopay grabpay', 'jd', 'ga', 'antri', 'kl', 'pake', 'mtix', 'kartu', 'kredit', 'kartu', 'kredit']",1
Ok,['ok'],['ok'],1
"Mohon ditambah ""wish list"" dan ""notifikasi jika sudah beredar di bioskop""","['mohon', 'ditambah', 'wish', 'list', 'dan', 'notifikasi', 'jika', 'sudah', 'beredar', 'di', 'bioskop']","['tambah', 'wish', 'list', 'notifikasi', 'edar', 'bioskop']",1
Mantap,['mantap'],['mantap'],1
Sangat bagus  Untuk melihat film dan trailer2* DAN coming soon,"['sangat', 'bagus', 'untuk', 'melihat', 'film', 'dan', 'trailer2', 'dan', 'coming', 'soon']","['bagus', 'film', 'trailer2', 'coming', 'soon']",1
Bagusss,['bagusss'],['bagusss'],1
"Tolong dong di upgrade, dari tahun 2015 loo terakhir upgrade. Jadul bgt","['tolong', 'dong', 'di', 'upgrade', 'dari', 'tahun', '2015', 'loo', 'terakhir', 'upgrade', 'jadul', 'bgt']","['tolong', 'upgrade', 'tahun', '2015', 'loo', 'upgrade', 'jadul', 'bgt']",1
Iya,['iya'],['iya'],1
"Metode pembayaran KUNO Virtual account bank atau sekalian bikin kaya sms banking , yg tidak harus credit card pastinya lebih seru, plusss harusnya kasih jadwal next nya biar bs planing, cmn klo booking/beli harus d hari H","['metode', 'pembayaran', 'kuno', 'virtual', 'account', 'bank', 'atau', 'sekalian', 'bikin', 'kaya', 'sms', 'banking', 'yg', 'tidak', 'harus', 'credit', 'card', 'pastinya', 'lebih', 'seru', 'plusss', 'harusnya', 'kasih', 'jadwal', 'next', 'nya', 'biar', 'bs', 'planing', 'cmn', 'klo', 'booking/beli', 'harus', 'd', 'hari', 'h']","['metode', 'bayar', 'kuno', 'virtual', 'account', 'bank', 'bikin', 'kaya', 'sms', 'banking', 'yg', 'credit', 'card', 'pasti', 'seru', 'plusss', 'kasih', 'jadwal', 'next', 'biar', 'bs', 'planing', 'cmn', 'klo', 'booking beli']",0
kont,['kont'],['kont'],1
akurat,['akurat'],['akurat'],1
"Mau daftar tapi gak bisa notifikasi nya ""403 forbidden"" kira kira kenapa ya tolong masukannya","['mau', 'daftar', 'tapi', 'gak', 'bisa', 'notifikasi', 'nya', '403', 'forbidden', 'kira', 'kira', 'kenapa', 'ya', 'tolong', 'masukannya']","['daftar', 'gak', 'notifikasi', '403', 'forbidden', 'tolong', 'masuk']",0
"tolong dibangun cinema xxi di kotabumi, lampung utara","['tolong', 'dibangun', 'cinema', 'xxi', 'di', 'kotabumi', 'lampung', 'utara']","['tolong', 'bangun', 'cema', 'xxi', 'kotabumi', 'lampung', 'utara']",0
"Tolong diperbarui, untuk filmnya diberi tanggal rilis pada masing masing film demi kenyamanan pengguna , terima kasih","['tolong', 'diperbarui', 'untuk', 'filmnya', 'diberi', 'tanggal', 'rilis', 'pada', 'masing', 'masing', 'film', 'demi', 'kenyamanan', 'pengguna', 'terima', 'kasih']","['tolong', 'baru', 'film', 'tanggal', 'rilis', 'film', 'nyaman', 'guna', 'terima', 'kasih']",1
Bacooooooooooot,['bacooooooooooot'],['bacooooooooooot'],0
"Knp hrs kartu kredit aja sih, by transfer kan juga bisa kali","['knp', 'hrs', 'kartu', 'kredit', 'aja', 'sih', 'by', 'transfer', 'kan', 'juga', 'bisa', 'kali']","['knp', 'hrs', 'kartu', 'kredit', 'aja', 'sih', 'by', 'transfer']",0
Bagus ya,"['bagus', 'ya']",['bagus'],1
Aneh nih aplikasi.... Para penggagas film koar2 memajukan perfileman indonesia... Tpi cinemaxx buat aplikasi kyk gini cuma pakek Kartu kredit.. Kami juga penikmat film.... Sayangnya kami bukan pengguna kartu kredit... Selagi kami mampu dengan uang langsung kenapa harus pakek kartu kredit...,"['aneh', 'nih', 'aplikasi', 'para', 'penggagas', 'film', 'koar2', 'memajukan', 'perfileman', 'indonesia', 'tpi', 'cinemaxx', 'buat', 'aplikasi', 'kyk', 'gini', 'cuma', 'pakek', 'kartu', 'kredit', 'kami', 'juga', 'penikmat', 'film', 'sayangnya', 'kami', 'bukan', 'pengguna', 'kartu', 'kredit', 'selagi', 'kami', 'mampu', 'dengan', 'uang', 'langsung', 'kenapa', 'harus', 'pakek', 'kartu', 'kredit']","['aneh', 'nih', 'aplikasi', 'gagas', 'film', 'koar2', 'maju', 'perfileman', 'indonesia', 'tpi', 'cinemaxx', 'aplikasi', 'kyk', 'gin', 'pakek', 'kartu', 'kredit', 'nikmat', 'film', 'sayang', 'guna', 'kartu', 'kredit', 'selagi', 'uang', 'pakek', 'kartu', 'kredit']",0
Aku suka,"['aku', 'suka']",['suka'],1
Bagus,['bagus'],['bagus'],1
Kereen,['kereen'],['kereen'],1
BAGUS BANHET,"['bagus', 'banhet']","['bagus', 'banhet']",1
Tidak bisa dibuka,"['tidak', 'bisa', 'dibuka']",['buka'],0
Love it,"['love', 'it']","['love', 'it']",1
I like it,"['i', 'like', 'it']","['like', 'it']",1
Ok,['ok'],['ok'],1
Ditingkatkan lagi,"['ditingkatkan', 'lagi']",['tingkat'],1
Lebih mudah mendapatkan info,"['lebih', 'mudah', 'mendapatkan', 'info']","['mudah', 'info']",1
Cucokk lah,"['cucokk', 'lah']",['cucokk'],1
Ok,['ok'],['ok'],1
Bagus,['bagus'],['bagus'],1
good,['good'],['good'],1
Knp daftar ny harus ribet??? Tolong dong pembayaran ny g harus pk kredit card agar lbih mempermudah,"['knp', 'daftar', 'ny', 'harus', 'ribet', 'tolong', 'dong', 'pembayaran', 'ny', 'g', 'harus', 'pk', 'kredit', 'card', 'agar', 'lbih', 'mempermudah']","['knp', 'daftar', 'ny', 'ribet', 'tolong', 'bayar', 'ny', 'pk', 'kredit', 'card', 'lbih', 'mudah']",0
Sangat membantu saat butuh referensi film,"['sangat', 'membantu', 'saat', 'butuh', 'referensi', 'film']","['bantu', 'butuh', 'referensi', 'film']",1
"Lah mau booking aja harus pake kartu kredit. Ribet banget, un install lagi aja apl gak bermutu","['lah', 'mau', 'booking', 'aja', 'harus', 'pake', 'kartu', 'kredit', 'ribet', 'banget', 'un', 'install', 'lagi', 'aja', 'apl', 'gak', 'bermutu']","['booking', 'aja', 'pake', 'kartu', 'kredit', 'ribet', 'banget', 'un', 'install', 'aja', 'apl', 'gak', 'mutu']",0
Mau registrasi tapi di minta pin sdangkan saya gatau pinnya,"['mau', 'registrasi', 'tapi', 'di', 'minta', 'pin', 'sdangkan', 'saya', 'gatau', 'pinnya']","['registrasi', 'pin', 'sdangkan', 'gatau', 'pin']",1
Their Beat Movie,"['their', 'beat', 'movie']","['their', 'beat', 'movie']",1
Oke,['oke'],['oke'],1
Saya suka menonton bioskop jadi tolong cepeat di dwonload,"['saya', 'suka', 'menonton', 'bioskop', 'jadi', 'tolong', 'cepeat', 'di', 'dwonload']","['suka', 'tonton', 'bioskop', 'tolong', 'cepeat', 'dwonload']",1
"untuk regristasinya sulit karena harus top up dl, dan pembayaran debit tdk ada,, harusnya regristasi dl kalau mau beli baru top up dan dikenakan biaya admin jg 😥😥😥😥","['untuk', 'regristasinya', 'sulit', 'karena', 'harus', 'top', 'up', 'dl', 'dan', 'pembayaran', 'debit', 'tdk', 'ada', 'harusnya', 'regristasi', 'dl', 'kalau', 'mau', 'beli', 'baru', 'top', 'up', 'dan', 'dikenakan', 'biaya', 'admin', 'jg']","['regristasinya', 'sulit', 'top', 'up', 'dl', 'bayar', 'debit', 'tdk', 'regristasi', 'dl', 'beli', 'top', 'up', 'kena', 'biaya', 'admin', 'jg']",0
Keren,['keren'],['keren'],1
Bagus banget jadi bisa update movie,"['bagus', 'banget', 'jadi', 'bisa', 'update', 'movie']","['bagus', 'banget', 'update', 'movie']",1
Mahal nonton di XXI murah di online layar  kaca21....ganool ngantri panjang film tertinggal. Jadi gak nyesel lagi nonton film yang gak bagus di xxi,"['mahal', 'nonton', 'di', 'xxi', 'murah', 'di', 'online', 'layar', 'kaca21', 'ganool', 'ngantri', 'panjang', 'film', 'tertinggal', 'jadi', 'gak', 'nyesel', 'lagi', 'nonton', 'film', 'yang', 'gak', 'bagus', 'di', 'xxi']","['mahal', 'nonton', 'xxi', 'murah', 'online', 'layar', 'kaca21', 'ganool', 'ngantri', 'film', 'tinggal', 'gak', 'nyesel', 'nonton', 'film', 'gak', 'bagus', 'xxi']",0
Top markotop,"['top', 'markotop']","['top', 'markotop']",1
Seandainya ada sekalian pembelian tiket bioskop jadi gak perlu antri lagi beli tiket,"['seandainya', 'ada', 'sekalian', 'pembelian', 'tiket', 'bioskop', 'jadi', 'gak', 'perlu', 'antri', 'lagi', 'beli', 'tiket']","['anda', 'beli', 'tiket', 'bioskop', 'gak', 'antri', 'beli', 'tiket']",1
Ko di daftar teater yg di daan mogot kagada kemana lagi kemaren ada,"['ko', 'di', 'daftar', 'teater', 'yg', 'di', 'daan', 'mogot', 'kagada', 'kemana', 'lagi', 'kemaren', 'ada']","['ko', 'daftar', 'teater', 'yg', 'daan', 'mogot', 'kagada', 'mana', 'kemaren']",0
"Kotanya kurang lengkap depok ga ada, tolong ditambahin dong.. Depok juga banyak bioskop ko .. Sory di ralat ternyata bioskop di depok masuknya kota bogor , baru tau saya kalo cinere itu bogor .. 😅","['kotanya', 'kurang', 'lengkap', 'depok', 'ga', 'ada', 'tolong', 'ditambahin', 'dong', 'depok', 'juga', 'banyak', 'bioskop', 'ko', 'sory', 'di', 'ralat', 'ternyata', 'bioskop', 'di', 'depok', 'masuknya', 'kota', 'bogor', 'baru', 'tau', 'saya', 'kalo', 'cinere', 'itu', 'bogor']","['kota', 'lengkap', 'depok', 'ga', 'tolong', 'ditambahin', 'depok', 'bioskop', 'ko', 'sory', 'ralat', 'bioskop', 'depok', 'masuk', 'kota', 'bogor', 'tau', 'kalo', 'cere', 'bogor']",1
Tolong penjelasan nya!? Kenapa akun m-tix saya nggak bisa? Padahal sudah registrasi!?,"['tolong', 'penjelasan', 'nya', 'kenapa', 'akun', 'm-tix', 'saya', 'nggak', 'bisa', 'padahal', 'sudah', 'registrasi']","['tolong', 'jelas', 'akun', 'm-tix', 'nggak', 'registrasi']",1
Despacito,['despacito'],['despacito'],1
Busuk,['busuk'],['busuk'],0
"Tolong dipermudah sistim pembayaran reload mtix Saya lihat sdh byk yg complain ttng sulitnya sistim pembayaran tsb, namun belum ada respon yg memuaskan dari manajemen cinemaxxi","['tolong', 'dipermudah', 'sistim', 'pembayaran', 'reload', 'mtix', 'saya', 'lihat', 'sdh', 'byk', 'yg', 'complain', 'ttng', 'sulitnya', 'sistim', 'pembayaran', 'tsb', 'namun', 'belum', 'ada', 'respon', 'yg', 'memuaskan', 'dari', 'manajemen', 'cinemaxxi']","['tolong', 'mudah', 'sistim', 'bayar', 'reload', 'mtix', 'sdh', 'byk', 'yg', 'complain', 'ttng', 'sulit', 'sistim', 'bayar', 'tsb', 'respon', 'yg', 'muas', 'manajemen', 'cinemaxxi']",0
"Mau nanya, XX1 yang di mall Daan mogot jakarta apakah sudah tutup? Krna di menu sudah g ada","['mau', 'nanya', 'xx1', 'yang', 'di', 'mall', 'daan', 'mogot', 'jakarta', 'apakah', 'sudah', 'tutup', 'krna', 'di', 'menu', 'sudah', 'g', 'ada']","['nanya', 'xx1', 'mall', 'daan', 'mogot', 'jakarta', 'tutup', 'krna', 'menu']",1
Lebih mudah dan praktis,"['lebih', 'mudah', 'dan', 'praktis']","['mudah', 'praktis']",1
Jadi saya bisa liat jadwal filem,"['jadi', 'saya', 'bisa', 'liat', 'jadwal', 'filem']","['liat', 'jadwal', 'filem']",1
good,['good'],['good'],1
"Gpp wlwpun cuma bisa liat jadwal cinema bioskopnya doang... Gak bisa beli tiket online ini itu,,yg penting bisa liat jadwal bioskop yg ngetop👍👍👍 #makasih #goodjobsZ","['gpp', 'wlwpun', 'cuma', 'bisa', 'liat', 'jadwal', 'cinema', 'bioskopnya', 'doang', 'gak', 'bisa', 'beli', 'tiket', 'online', 'ini', 'itu', 'penting', 'bisa', 'liat', 'jadwal', 'bioskop', 'yg', 'ngetop👍👍👍', 'makasih', 'goodjobsz']","['gpp', 'wlwpun', 'liat', 'jadwal', 'cema', 'bioskop', 'doang', 'gak', 'beli', 'tiket', 'online', 'liat', 'jadwal', 'bioskop', 'yg', 'ngetop', 'makasih', 'goodjobsz']",1
Jelek sekarang lemot gk kyk dulu,"['jelek', 'sekarang', 'lemot', 'gk', 'kyk', 'dulu']","['jelek', 'lot', 'gk', 'kyk']",0
Wah kurang bagus. Cuma ngelink ke web view jadinya kurang efisien. Pokoknya ribet dah app.nya,"['wah', 'kurang', 'bagus', 'cuma', 'ngelink', 'ke', 'web', 'view', 'jadinya', 'kurang', 'efisien', 'pokoknya', 'ribet', 'dah', 'app.nya']","['bagus', 'ngelink', 'web', 'view', 'efisien', 'pokok', 'ribet', 'dah', 'app nya']",0
Widih bagus banget,"['widih', 'bagus', 'banget']","['widih', 'bagus', 'banget']",1
Membantu,['membantu'],['bantu'],1
Jangan lemot,"['jangan', 'lemot']",['lot'],1
"Ko jadi Parsing error terus ya, tolong diperbaiki ya ^_^","['ko', 'jadi', 'parsing', 'error', 'terus', 'ya', 'tolong', 'diperbaiki', 'ya']","['ko', 'parsing', 'error', 'tolong', 'baik']",1
"saya udh pake aplikasi ini cjkup lama, tp hari ini saya susah bgt aksesnya, sellj tampil tulisan 'parsing error' itu knp ya","['saya', 'udh', 'pake', 'aplikasi', 'ini', 'cjkup', 'lama', 'tp', 'hari', 'ini', 'saya', 'susah', 'bgt', 'aksesnya', 'sellj', 'tampil', 'tulisan', 'error', 'itu', 'knp', 'ya']","['udh', 'pake', 'aplikasi', 'cjkup', 'tp', 'susah', 'bgt', 'akses', 'sellj', 'tampil', 'tulis', 'error', 'knp']",1
Kenapa apknya tidak bisa dibuka ya..  Tolong dibantu,"['kenapa', 'apknya', 'tidak', 'bisa', 'dibuka', 'ya', 'tolong', 'dibantu']","['apknya', 'buka', 'tolong', 'bantu']",0
lemot bgt loadingnya. bukn krna koneksiku kok,"['lemot', 'bgt', 'loadingnya', 'bukn', 'krna', 'koneksiku', 'kok']","['lot', 'bgt', 'loadingnya', 'bukn', 'krna', 'koneksi']",0
Bagus,['bagus'],['bagus'],1
Ok,['ok'],['ok'],1
mantap,['mantap'],['mantap'],1
Lumayan aplikasi ya bagus 😀,"['lumayan', 'aplikasi', 'ya', 'bagus']","['lumayan', 'aplikasi', 'bagus']",1
baguss,['baguss'],['baguss'],1
Good,['good'],['good'],1
Keren,['keren'],['keren'],1
okkkkkkk,['okkkkkkk'],['okkkkkkk'],1
Good,['good'],['good'],1
Servernya kok susah masuk ya pas pembayaran padahal signal seluler 4G.  Sering gagal waktu pengisian saldo pertama dan pengisian data cc juga kepanjangan ujung-ujungnya masih aja gagal. Tolong permudah aplikasinya dan servernya.  :'),"['servernya', 'kok', 'susah', 'masuk', 'ya', 'pas', 'pembayaran', 'padahal', 'signal', 'seluler', '4g', 'sering', 'gagal', 'waktu', 'pengisian', 'saldo', 'pertama', 'dan', 'pengisian', 'data', 'cc', 'juga', 'kepanjangan', 'ujung-ujungnya', 'masih', 'aja', 'gagal', 'tolong', 'permudah', 'aplikasinya', 'dan', 'servernya']","['servernya', 'susah', 'pas', 'bayar', 'signal', 'seluler', '4g', 'gagal', 'waktu', 'isi', 'saldo', 'isi', 'data', 'cc', 'panjang', 'ujung', 'aja', 'gagal', 'tolong', 'mudah', 'aplikasi', 'servernya']",0
Bagus banget saya suka,"['bagus', 'banget', 'saya', 'suka']","['bagus', 'banget', 'suka']",1
Like,['like'],['like'],1
"Susah cuma mau booking tiket aja harus isi Mtix ke XXI klo engga pake kartu kredit  :( Klo CGV / aplikasi lainnya enak bisa pake M-banking jd sambil kerja pun udah bisa booking tiket,  pulang kerja tinggal cuss dehh  Pdhl sbnrnya tmpat kerja lebih deket k xxi,  tp engga bisa booking jd ya mending pake CGV atau cinemaxx, lebih simple sistem booking tiketnya :)","['susah', 'cuma', 'mau', 'booking', 'tiket', 'aja', 'harus', 'isi', 'mtix', 'ke', 'xxi', 'klo', 'engga', 'pake', 'kartu', 'kredit', 'klo', 'cgv', 'aplikasi', 'lainnya', 'enak', 'bisa', 'pake', 'm-banking', 'jd', 'sambil', 'kerja', 'pun', 'udah', 'bisa', 'booking', 'tiket', 'pulang', 'kerja', 'tinggal', 'cuss', 'dehh', 'pdhl', 'sbnrnya', 'tmpat', 'kerja', 'lebih', 'deket', 'k', 'xxi', 'tp', 'engga', 'bisa', 'booking', 'jd', 'ya', 'mending', 'pake', 'cgv', 'atau', 'cinemaxx', 'lebih', 'simple', 'sistem', 'booking', 'tiketnya']","['susah', 'booking', 'tiket', 'aja', 'isi', 'mtix', 'xxi', 'klo', 'engga', 'pake', 'kartu', 'kredit', 'klo', 'cgv', 'aplikasi', 'pake', 'm-banking', 'jd', 'udah', 'booking', 'tiket', 'pulang', 'tinggal', 'cuss', 'dehh', 'pdhl', 'sbnrnya', 'tmpat', 'deket', 'xxi', 'tp', 'engga', 'booking', 'jd', 'mending', 'pake', 'cgv', 'cinemaxx', 'simple', 'sistem', 'booking', 'tiket']",0
"Ribet pakai Mtix, tolong lebih simple... mungkin pakai virtual account, cartu credit atau debit card Kalo ada yg lebih mudah, knp dipersulit. Thanks","['ribet', 'pakai', 'mtix', 'tolong', 'lebih', 'simple', 'mungkin', 'pakai', 'virtual', 'account', 'cartu', 'credit', 'atau', 'debit', 'card', 'kalo', 'ada', 'yg', 'lebih', 'mudah', 'knp', 'dipersulit', 'thanks']","['ribet', 'pakai', 'mtix', 'tolong', 'simple', 'pakai', 'virtual', 'account', 'cartu', 'credit', 'debit', 'card', 'kalo', 'yg', 'mudah', 'knp', 'sulit', 'thanks']",0
Mantap habisss😂😂😂,"['mantap', 'habisss😂😂😂']","['mantap', 'habisss']",1
Kendari kok belum ada?,"['kendari', 'kok', 'belum', 'ada']",['kendari'],0
Cantif,['cantif'],['cantif'],1
"bintang nya blom full, klo sdh bs pakai virtual acount baru kasih full...maaf saya bukan pengguna kartu kredit...","['bintang', 'nya', 'blom', 'full', 'klo', 'sdh', 'bs', 'pakai', 'virtual', 'acount', 'baru', 'kasih', 'full', 'maaf', 'saya', 'bukan', 'pengguna', 'kartu', 'kredit']","['bintang', 'blom', 'full', 'klo', 'sdh', 'bs', 'pakai', 'virtual', 'acount', 'kasih', 'full', 'maaf', 'guna', 'kartu', 'kredit']",0
Perbaiki lagi pelayanannya agar pengguna lebih nyaman menggunalan aplikasinya.,"['perbaiki', 'lagi', 'pelayanannya', 'agar', 'pengguna', 'lebih', 'nyaman', 'menggunalan', 'aplikasinya']","['baik', 'layan', 'guna', 'nyaman', 'menggunalan', 'aplikasi']",1
Buat lihat jadwal bioskop,"['buat', 'lihat', 'jadwal', 'bioskop']","['jadwal', 'bioskop']",1
"Untuk pendaftarannya knp mesti pakai credit card?, dipermudah via transfer atau virtual acount dong untuk pelanggan yg tdk punya credit card.","['untuk', 'pendaftarannya', 'knp', 'mesti', 'pakai', 'credit', 'card', 'dipermudah', 'via', 'transfer', 'atau', 'virtual', 'acount', 'dong', 'untuk', 'pelanggan', 'yg', 'tdk', 'punya', 'credit', 'card']","['daftar', 'knp', 'mesti', 'pakai', 'credit', 'card', 'mudah', 'via', 'transfer', 'virtual', 'acount', 'langgan', 'yg', 'tdk', 'credit', 'card']",0
Apk sini basa download video movie,"['apk', 'sini', 'basa', 'download', 'video', 'movie']","['apk', 'basa', 'download', 'video', 'movie']",1
Pendapat saya sudah sampai ya. Terima kasih.,"['pendapat', 'saya', 'sudah', 'sampai', 'ya', 'terima', 'kasih']","['dapat', 'terima', 'kasih']",1
"Saya sudah isi semua perintah untuk registrasinya, saya menggunakan debit dan kalaupun memang tidak bisa pakai debit kenapa ada perintah bahwa registrasinya sukses?? Sangat Lucu. Saya akan cek apabila uang saya kepotong, karna sudah ada perintah kalau registrasinya sukses. Tolong bantuannya.","['saya', 'sudah', 'isi', 'semua', 'perintah', 'untuk', 'registrasinya', 'saya', 'menggunakan', 'debit', 'dan', 'kalaupun', 'memang', 'tidak', 'bisa', 'pakai', 'debit', 'kenapa', 'ada', 'perintah', 'bahwa', 'registrasinya', 'sukses', 'sangat', 'lucu', 'saya', 'akan', 'cek', 'apabila', 'uang', 'saya', 'kepotong', 'karna', 'sudah', 'ada', 'perintah', 'kalau', 'registrasinya', 'sukses', 'tolong', 'bantuannya']","['isi', 'perintah', 'registrasi', 'debit', 'pakai', 'debit', 'perintah', 'registrasi', 'sukses', 'lucu', 'cek', 'uang', 'potong', 'karna', 'perintah', 'registrasi', 'sukses', 'tolong', 'bantu']",0
Good aplikasi tingkatkan lagi keren lah yang bilang jelek itulah hp jadulu buang sonoh,"['good', 'aplikasi', 'tingkatkan', 'lagi', 'keren', 'lah', 'yang', 'bilang', 'jelek', 'itulah', 'hp', 'jadulu', 'buang', 'sonoh']","['good', 'aplikasi', 'tingkat', 'keren', 'bilang', 'jelek', 'hp', 'jadulu', 'buang', 'sonoh']",1
Good idea..,"['good', 'idea']","['good', 'idea']",1
Intinya keren,"['intinya', 'keren']","['inti', 'keren']",1
"Top up saldo jangan susah ya mesti pakai ktp segala, kan deposit awal sudah pakai kartu kredit... :( pakai transfer bank lebih siip kayak toko online gitu..","['top', 'up', 'saldo', 'jangan', 'susah', 'ya', 'mesti', 'pakai', 'ktp', 'segala', 'kan', 'deposit', 'awal', 'sudah', 'pakai', 'kartu', 'kredit', 'pakai', 'transfer', 'bank', 'lebih', 'siip', 'kayak', 'toko', 'online', 'gitu']","['top', 'up', 'saldo', 'susah', 'mesti', 'pakai', 'ktp', 'deposit', 'pakai', 'kartu', 'kredit', 'pakai', 'transfer', 'bank', 'siip', 'kayak', 'toko', 'online', 'gitu']",1
Awesome apps,"['awesome', 'apps']","['awesome', 'apps']",1
Very Good,"['very', 'good']","['very', 'good']",1
