content,score
the apps getting better,5
"ingin mudah, jadi order ticket secara online, tapi kena order fee.",3
"tampilan baru dan payment juga bisa melalui GoPay, langganan tiap ingin nonton ...",5
Great..,5
easy to use,5
"better than tix id, mantap UI aplikasinya",5
Good apps,5
fee is too high,2
good..simple and ready to movie,5
so far so good. keep it up!,5
good,5
Very nice,5
"Review on June 16th'25 : 1. Eventhough new IU is cool, yet so many buggy moments here and there. Trailers can't be played, Photos for all movies Can't Show. 2. I realised that starting from today, with each purchase, comes 2 options we're Being Forced to Choose Before we can View the seats, between an extra charge of 4000 or to buy some popcorns, which is Absurd and Unneccessary. 3. Just Dial Back & Don't be Greedy. We Don't want that Extra Charge per Purchase. Your food is Already Too Expensive",2
Okay .... but more expensive,5
"salah order mfood lokasi,, mw ganti gk bisa,, dihubungi CS dijawab sama bot,,",1
ok bagus,5
ok,5
order fee is too high,3
cannot see the schedule for the upcoming days.,4
"barubtiba di XXI Galleria, tiket 2 org utk how to train your dragon jam 13.30 tanggal 14 June once scan ticket, machine said ticket has been printed, I manually input, also said has been printed. the staff casually saying maube your friend has print it out, like i am only book for 2 pax and who is even printing it out before me?",1
the app is better if we can use multi method payment because mtix saldo often not enough,4
your so cool,5
"Ease of use, payment variety",5
lagi maintenance semua pembayaran kah?,1
good to know that it now has qris optional payment 👍,5
"jika ini apps dari XXI, maka seharusnya tdk ada extra charge unt pembelian tiket. akan tetapi feesnya mahal bgt, 16 rbu unt 4 tiket, hampir 50% harga 1 tiket baru.",3
i can't do payment by virtual Account,1
"Payment choice are limited, complicated ticket payment processing",3
mantap,5
Gagal terus,2
sedikit disayangkan setiap histori pembelian tiket selalu hilang setiap update,3
Simple and easy,5
easy,5
"aneh kenapa ada order fee order online, logika terbalik",2
system.payment pakai Sakuku sering error,4
fast service,5
sudah bagus ditambahi xxi biar gqmpang di search,5
"I've been using MTIX for a long time, and it's super convenient—no need to queue, you can check schedules, choose your seats, and even order food/snacks. What's even better is how easy the payment process is. However, why is the virtual phone number for XX1 MTIX no longer available? Please bring it back—it made everything so much easier!",3
nice app,5
"I hope they will make a ""Favourite button"" for the ""Coming Soon"" and a notification system for when it's arrived in the cinema",3
good,5
"ui is so easy to understand. payment is easy too.. very fast, good apps!",5
Booking fee naik. Tapi layanan aplikasi makin jelek. respon Sakuku lama. QRIS juga gitu.,3
nice,5
Makes all as easy as you think. Just try...,5
super easy.wonderful app,5
Aplikasinya gabisa dibuka! padahal jaringanya bagus.. padahal dulupun kalau jaringan lemot tetap bisa kebuka kok.. sekarang kok jadinya ga bisa kebuka lagi ni aplikasinya.. masa harus dibuka dari playstore baru bisa dibuka aplikasinya?!!! kalau langsung enter gabisa kebuka sama sekali!... mohon dong untuk diperbaiki aplikasi inj min!!...,1
👍,5
"Ga usah repot2 antri lg di bioskop, cukup pesan dari sini dan tinggal cetak aja disana. Selama bertahun2 pakai tdk pernah ada masalah atau gangguan",5
good,5
the order fee is little bit high I Think,4
Excellent Movie Cinema Experience! :D,5
easy to use,5
Very bad Jdwal tdk akurat 👎,1
ribet mesen Snack ternyata harus scan dulu baru dibuatin padahal di aplikasinya gada bilang harus scan barcode tpi langsung pickup jam sekian,1
aplikasi yg sangat membantu untuk info jadwal film dan pemesanan tiket,5
Pemesanan Ticket online disini harusnya jangan kena biaya Admin lagi... artinya Ticket + Fee : kalau pesen buat 10 orang byk banget feenya udah bisa buat 1 Ticket,3
easy 2 use,5
great apps,5
"good app, comfort",5
Excellent,5
good applikasi,5
ok helping me.,5
easy to booking tickets,5
Helpful to book movie ticket,5
too expensive fee to order tickets,1
great apps! easy to use,5
mending di drop aja ini aplikasi ga berguna,1
pakai MTIX bayar fee. datang langsung lebih murah,1
Need favourite cinema menu,3
menu/ fitur favorite cinemas nya hilang sepertinya.,3
Update terbaru ga kompatible dgn hp huawei. Appsny ga bs diakses. Cm muncul white screen.,1
so helpfull,5
Good...very helpful,5
Keep up the good works,5
nice,5
ok,5
mahal feenya,3
helpfull,5
simple way,5
"excellent app, good job 21",5
mtix is always the best,5
good,5
"mantab, berguna sekali beli tiket tanpa harus antre 👍",5
ok,5
its really helpfull,5
awesome,5
"Aplikasi yang sangat buruk, udah checkout order pake metode QRIS dan saldo di mbanking udh kepotong tp status di aplikasinya malah failed dan unable to process, ga lama kemudian saldo di refund tapi ke mtix point, setelah itu saya coba order lagi menggunakan metode GoPay dan lagi lagi saldo GoPay nya kepotong tapi status di aplikasinya failed lagi dan unable to process, lebih parahnya udah 3 jam saldo ga kunjung di refund! memalukan. Hati hati menggunakan aplikasi ini rekan-rekan!.",1
Please provide a VA from a bank other than Bank Mandiri,4
easy to use,5
nice👍👍👍,5
"praktis, jadi gak perlu antri",5
more payment options should be added,4
Smart way to watching a movie,5
bagus dan cepat,5
excellent,5
opsi tanggal nya dong jangan hari ini saja,3
Oke 👍👍👍,5
Good n Practical,5
user friendly,5
good,5
easy to use,5
good,5
Awesome UX and smooth,5
your fee booking is too expensive,5
awesome,5
Praktis ...,5
"This app is thr best way to book, no, no, buy tickets so that one will always get the best seats, or is it just me? Anyway, it's better to be early and avoid long q'''''s and be uncertain and feeling uneasy for the best time slot and seats... This app has it all, even the ease of payment and buying snacks...",5
A much better way to order movie tickets at Cinema XXI studios.,5
"great app , easy to use",5
Gud,5
easy use👍🏼,5
it works great so far!,5
So far so good use this app to order the ticket movie.,5
"Honestly, this is the most expensive app. Fee @4000/ticket. If it weren't for the bank/merchant promo, I wouldn't buy from this app. I'd rather buy on the spot at ticketing than pay the app/ticket fee. Hopefully, there will be more cinemas other than XXI so that there is price competition.",1
"mau pembelian harus relogin sampai 3-5x dulu baru berhasil, sempat bisa login tapi tampilan aplikasi berubah dan pilihan metode pembayaran berkurang, sehingga harus restart aplikasi dan relogin lagi",2
kereeenn,5
sangat mudah dan cepat,5
easy and enjoy to use,5
"tiket di empire bip bandung utk film mission impossible, ga bisa diklik utk pembelian tiketnya.",1
long time no use this app,5
Please add BCA payment,3
"Mahal.. mungkin bentar lagi bakal kalah sama netflix, vidio dan lain lain",1
it would be better if there was BCA payment,4
Nice,5
keREN,5
"UI pemiliham tanggalnya kurang friendly. bisa bikin salah persepsi saat pemilihan tanggal. Saat filmnya belum mulai hari ini, Mungling dikasih lebih jelas misalnya today posisinya dimana, atau info sekian hari lagi. agar customer ngeh bahwa film yg akan dipesan belum tyang hari ini.",2
Ok,5
eazy way,5
Good apps,5
"its recovered and refunded immediately, The app service was great. thank you",5
Kapan m banking bca mau di masukin buat top up saldo m tix? Lama banget kalian sejak update jadi versi terbaru nggak m banking bca,1
👍🏻,4
terlalu lama loadingnya,3
Karena skr ada biaya adminnya,4
"ini di update ke versi 9.0.0 fitur favorite cinema diilangin, itu fitur berguna lho biar ga perlu nyari ulang, langsung pesen",1
"Aplikasi bukan makin bagus tp makin tolol,, kyk lebih bagus aplikasi yg jadul... Yg ini bikin emosi kadang gambar2 gak keluar. Lola, lemot, parah lah",1
kok tidak keluar gambarnya di setiap film thumbnailnya.,5
"Aplikasi lancar, cuma ga ada histori pembelian tiket yang pernah dibeli, itu pun cuma nampilin tiket yang pernah dibeli 2 bulan yang lalu. Padahal saya selalu pake aplikasi ini buat pesen tiket. tolong tampilkan histori semua tiket yang pernah dibeli kaya TIX ID. Terima kasih. *btw biaya admin harusnya nutup dong buat nambahin database fitur ini hehe :)",5
berulang terus pendaftaran sakuku.,3
payment method very troublesome. mau link/unlink gopay aja ga bisa terus. masih ada saldo di mpoint nyangkut sampai sekarang mau dipindah ga bisa.,1
Ada biaya Fee s nya. Wkwkwk,3
"order failed, saldo terpotong",1
too many relogin request.,3
Tidak ada Menu lupa PIN,1
kbanyakan login,1
very confiniance and user friendly,5
baguuus,5
Feenya lumayan ya,5
"Mantaap, Updating dan Mudah",4
excellent,5
slow,1
fee nya kemahalan,4
luar biasa.. terima kasih,5
gagal payment mulu,1
ntap,5
easy to use this app,5
"mantapp, no antri2 klub",5
"aplikasi tidak jelas, tidak bisa melihat apa saja yg lagi tayang dll, bikin jadi malas nonton",1
josss,5
"mau login, OTP sms ga masuk2 nyoba berkali2",2
it was perfectly easy and informative,5
oke,5
not working,1
hard to payment,2
Mtix payment kurang berkualitas. Refund error. Tapi sudah solved. Terima kasih mtix,4
thats good n simple,5
Di tunggu hasil AI nya semangatt,5
"Biaya adminnya mahal sekali. Coba dianalisa lagi, market competitivenesnya jadi berkurang dengan mahalnya biaya admin per tiket. Coba dikembangkan biaya admin per user ID saja, sehingga terasa benefitnya untuk user yang order banyak. Thx.",4
pembayaran error,1
"User friendly, akses cepat, metode pembayaran beragam sehingga memudahkan pembelian tiket",5
Good,5
pembayaran virtual acc via bank harap diperbanyak,4
good apps to spend money,5
error during payment w gojk,2
tdk ada Film A Miku who can't sing. dimohon utk beli Film nya.,1
"Gak bisa dipakai sm sekali di Samsung.. Awal install, pas dibuka lgsg ada pertanyaan ttg allow notif apa nggak dan jd stopper.. Gak bisa dipakai sama sekali. Tlg dicek, S24FE gk bs running sm sekali",1
error mulu . busuk,1
"always error when directed to the payment option, please diversify the payment method, please check for the redeem voucher it should cover the order fee not separated",2
Keren dan mudah...,5
terlalu banyak biaya pelayanan..,3
pembayaran tdk ada BCA virtual account,3
I book money got cashed. but my order failed,1
"Often had ticket issues when I tried to order through the app, and maybe it's just policy but it sucks that we can't buy tickets for other days besides the day we want to watch",2
ribet skrg login log out nya,2
nice,5
Sering promo hehehe,5
cs nya sangat bodoh hanya menjawab template aplikasi juga gak di maintenance dengan baik dan gak ada sopan santun nya cs nya,1
Great app. Easy to use. Keep improving. Thank you. 😊,5
so slow,1
"ketika platform mengarahkan pembelian online non tunai dengan memberi kemudahan termasuk meringankan biaya, XXI masih saja mengenakan biaya yg cukup tinggi untuk pembelian voa app mereka sendiri...",3
jadi aneh dan bikin bingung....bagusan dan easy to use yg sebelumnya deh,4
okey,5
mudah dan cepat gez,5
"payah, ga praktis, jelek parah, menyusahkan, adminnya mahal tapi jelek. tiap login selalu otp Mulu, aplikasinya perlu dibenerin sistemnya",1
Add BCA mobile for payment,4
"gampang, mudah, tanpa antri",5
cepat gak ribet cuma tambah biaya admin,5
"Aplikasi paling buruk yg pernah saya download. Karena selalu mengatakan akan memberi SMS verifikasi, tetapi SMS tersebut tidak pernah dikirimkan. Buruk seburuk2nya.",1
duit ga balik woy pembelian malah batal,1
ok. nice,5
smooth,5
Good Job,5
"Selalu Gagal Bayar : Sorry, Unable to process your request, please try again. #GP-IST-005",1
Great,5
😊👍,5
"kemahalan order via apps, harusnya mempermudah malah jadi MAHAL",1
ok mudah pesan tiket,5
"This app is useless! It is not possible to book tickets for any day except for today! It is not possible to select any other day, except the current day. How can I book ticket in advance for tomorrow or any other day???",1
pembayaran kurang flexible,2
thanks! it's make simple!,5
pilihan pembayaran dikit.. ribet,3
saldo terpotong tapi gagal,1
intuitive,5
beli di aplikasi kena fee Rp. 12.000 lumayan juga yahh.. kurang banyak promo nya juga sayang bgt sihh..,2
awesome,5
"jadi ada feenya malesin, dan ternyata pas di cek lokasi langsung harganya 40k di mtix malah 45k.. jujur saya baru untuk nonton lagi setelah beberapa tahun tapi dulu harga sesuai dan tidak ada fee.",1
fees kemahalan,3
gagal mulu mesen tiket,1
easy use apps and more saving times. thumbs up!,5
"Sejak awal dibuka setelah di install, apps sudah error. Di window send notification allow/or not. Lalu freeze ga bisa lanjut lagi",1
aplikasi bapuk dikonekin gopay malah blank gabisa dibuka,1
nice,5
sering error,1
It's sucks,1
this is good,5
"pilihan metode pembayaran sangat sedikit, tidak ada bca, bri, bni, hanya mandiri. e wallet juga hanya bisa melalui gopay, tidak ada ovo, dana, linkaja",1
aplikasi yang tidak user friendly terutama koneksi ke go pay,1
"kok berkali2 daftar metode pembayaran gopay, tapi still a good",4
"fun to order easy to pay fun to watch , movie theather should has the be different than streaming movie",5
Very easy and user-friendly !!,5
great app,5
cool apps,5
top,5
good job,5
Susah proses bayar pakai CC nya... lama banget loadingnya,1
please tambahkan kapan tanggal rilis film dan kapan tanggal selesai! nyesek banget liat film yg mau di tonton malah udh ga nayang lagi,5
cannot purchase ticket,1
"suck, unstable and keep changing",1
can't link to gopay,1
Cannot link to gopay,1
bad! too manh bugs. need to fixed it,1
simpel,5
"nice app, help us a lot and makes us easier to see a movie",5
easy & safety 👍👍👍,5
"eror terus, berkali kalo gagal pembayaran",2
why should take fee? using mobile application is to make easier customer without take advantage for them.,2
payment method sedikit pilihan,1
UI bagus tapi kurangin Fee nya dong. Biar pada online semua.,5
Kenapa mindah kode bayar mtix dr mbca mendadak jd tdk ba topup. Akhirnya divert ke gopay,2
Its too much procedures,2
sering error dan buat kecewa,1
Mahal banget pake biaya order. Tolong dihapuskan dong biaya tsb.,4
"goodd,,",5
"cepet banget, ada biaya 16k untuk 4ticket",5
"The Park ga ada, Ciplaz parung ga ada. Daftar film juga ga lengkap, 😓",1
great app for movie,5
top up semakin terbatas dengan charge per tiket yg semakin bertambah 🙈,3
mantap,5
rather frustrating when linking payment to GoPay. finally successful after 3 attempts. annoying really,3
sungguh jelek aplikasinya banyak error.,1
efficient,5
good application for ordering the ticket to get the movie asap,5
miss lead studio configuration layout,2
good,5
ok lah,4
"always ask OTP again and again, ineffective",2
terlalu sering login ulang,3
"THIS APP IS REALLY BAD, why? because it's very hard to pay for tickets, you need to link and link again and again, and why do I have to login again every time I open the app? I'm being generous giving you 2 stars, fix this",2
"nice app, helpfull",5
"ribet pake unlink gopay pulak, keduluan orang dah pesen tiketnya",3
"sempat sudah bayar.. tp kalah cepat sama yg offline jd g bisa ke tag, kecewa sih.. cmn tiketnya bisa di refund. yah namanya juga sistem, moga bisa segera di tangani.",4
unable to link my Gopay into M Tix,2
bikin akun nya rada ribet,4
terjadi error saat melakukan pembayaran sehingga membuat saya kehilangan mendapatkan voucher dan akhirnya sebagai pengguna perdana tidak dapat free tax ini cukup menyebalkan,3
good apps to enjoy movie,5
"aplikasi gajelas login aja terusss, mau bayar malah blank screen 👊🏻",2
"great but credit card payment doesnt need authentication, very worrying",4
update dong ada bug nih,5
ga bisa top up pake Gopay dan BCA VA,1
aplikasi full bug,1
payment sering failed,3
oke,4
order fee keeps going up,4
"terlalu sering blank screen, padahal internet ngebut",1
"lama confirm ordernya , hrsnya instant abis payment",3
Bugs!!!,1
TRANSACTION FAILED AND GOPAY DEDUCTED????,1
"bad user experience, keeps logging me out occasionally for some reason, cannot zoom out from the chair booking screen",2
harus beberapa kali order baru berhasil,3
"sebelumnya pakai aman2 aja. karena ganti hp, download baru tp lupa password. saya tidak menemukan tombol security utk klik lupa password. bisa dibantu?",3
mesti login berulang2 tidaj seperti versi yg sebelumnya,2
👍,5
so slow,3
lemot. pembayaran ribet,1
"Tidak bisa login, tidak bisa reset PIN",1
great!,5
nice apps,5
M-tix application was good but still needed to fix the bugs,4
"app nya dibanding platform sblh kalah nih, yuk perbaiki. bbrp x sy sampe hrs input relogin hrs utk transaksi beli tiket.",4
pesen tiket di mtix sat set tapi lmyn biaya adminnya bisa bwt beli kopi family mart..wkwkwkw,4
Ok,5
"What is exactly the purpose of making this application dear mtix? I bought ticket with this app, got additional charge 12.000 rupiah, then after paying suddenly the ticket got refund. I ask the cs, it was because someone got my seat row. There is no added value if using this application if you still priotize in person buying ticket. The purpose of this app to make people buy ticket in advance rather than going theather and waiting for the movie charged up to half of one ticket? not worth it.",2
thats cool,5
Metode pembayaran merepotkan. Kurang user friendly.,3
"Aplikasi bagus, untuk pesan tiket dan melihat film yang akan tayang",5
"memudahkan untuk beli, tp lumayan ya order fee-nya 4000",5
"apk nya ga bisa dibuka, loading terus. padahal sinyal oke oke aja, tolong perbaiki bug nya ya😔",1
Refund terus untuk order,1
gabisa login,1
mudah dan tidak pusing klo mao pesen tiket atau snack thanks..,5
"harusnya order online sama harganya dengan beli offline, jadi orang akan lebih punya keinginan menonton , walau sedikit tapi itu akan menurunkan minat",5
"Nyusahin tau kalo login bisanya pake no hp. Ada regis email kenapa ga pake 2 opsi buat login ajasi. Kalo ganti nomor dan buat baru, emailnya juga gabisa pake yang lama, gajelas.",2
"saldo saya hilang dan sampai saat ini belum dikembalikan. saya sudah lapor help center tapi tidak direspon. Lanjutan : setelah saya bikin review di atas, help center langsung respon di WA chat, mereka minta screenshot mengenai saldo saya yg hilang, setelah saya balas respon mereka, mereka langsung tutup percakapan tersebut setelah 1 menit. alasannya karena tidak ada respon dari saya. hahaha. kocak, kocak. baru 1 menit ditinggal percakapan udah langsung ditutup. pelayanan macam apa ini.",1
"saya user lama yg suka pake mtic disaat ingin pesan online aja tapi karena dah lama gapake skrng ko jadi sulit gini si buat login? saya kan lupa pin password dan saya ikutin perintah buat reset password tapi kenapa gabisa? error terus loh setelah masukin nomer saya, saya dah coba berkali-kali di aplikasi termasuk di web nya langsung tetep aja error dari sananya! tolong dong saya tuh punya dua nomer dan dua email terdaftar semua tapi yg satu ganti dan satunya lupa pin, tolong perbaiki reset pin",3
"Saya pesan, pilih pembayaran dan membayar sesuai dengan waktu yang ditentukan, setelah bayar tulisannya processed, saya ke XXI dan kecewa ternyata direfund, mana bawa keluarga. Sistem lock seatnya tolong diperbaiki!",1
"setelah di update jadi aneh login"" mulu, abis bayar ga langsung masuk",3
order fee too expensive,3
"sudah pesan dan bayar. tiket tidak muncul diaplikasi, menghubungi CS tidak ada respon via wa atopun telpon, tiba2 sudah ter refund.",1
somehow cancelled my ordered ticket abruptly. destroying all my plan,1
gopay masa ga bisa sebel banget,3
"Nice app. But sometimes mtix got error and whenever I order tickets, (I already pay) but its still processing order. It's been minutes and haven't processed yet. And I got nothing from it. And those seats were ALREADY taken by someone else. I'm dissapointed",3
jelek bgt app nya...mau bayar pake apapun ga bisa...,1
"cannot linking into gopay, processing VA above 5 minutes still not done yet",2
lemot,1
"kanapa g bisa ubah pin, error 503, perbaiki lah tu",1
konek ke gopay gak bisa,3
error saat reset pin,1
error terua,1
TRASG APP LAGSS ALL THE TIME EVERYTIME I TRY PAYING THEY GIVE YOU AN ERROR MASSAGE,1
option payment method,1
Cumbersome,1
"loading terus, failed bgt mau pesen tiket minggu",1
aplikasi lambat sudah payment tapi tiket tidak tergenerate 😮‍💨😮‍💨😮‍💨 WA bussines tidak ada jawaban Call Center tidak ada nada sambung,1
Aplikasi lambat tidak responsif,1
"apps so slow, loading takes forever",3
the app is too slow.,3
eror terus makin susah pesen tiket . mau login aja susah bgt,1
muter-muter terus tidak bisa digunakan,1
lemotttttt,1
aplikasi error terus. sudah tau traficnya banyak tapi servernya jelek. invest di server lah,1
always connection issue and my order won't complete,1
laggy apps. dibuka lama banget. Yang bener dong kalau bikin aplikasi,2
lemot pada saat order tiket,3
lama prosesnya,1
lemot bejir,4
gak bisa login,1
good,5
bit slowly,4
Simple,5
oke triks,5
"min, hari ini ga bisa di pake appsnya?",1
aplikasinya hari ini eror kah? hari ini filmnya kok cuma ada 2 di jkt? pengepungan bukit duri dan ajat??,1
nice app,5
"really bad application, you cannot register an account with new phone number and using the same email address... really stupid...",1
"TAMBAH RIBET BAYARNYA, APALAGI PAKAI SAKUKU YG PROSESNYA SANGAT RIBET",1
ribet dan fee nya mahal,1
today i cant log in due to super delay in receiving Otp code.. i made several attempts untill exceeding its limit and required to log in again tomorrow.. please send otp thru WA...way faster...,1
"suka ngebug di ""MyOrders""",3
The app does not allow users to purchase tickets in advance for a future date. Gopay payment keeps failing. What a letdown from the biggest cinema chain in Indonesia.,2
sms otp utk login ga masuk. dicoba bbrp kali akhirnya hanya 1 sms otp yg masuk dan itupun udh tidak valid. tidak ada fitur send otp by email or wa. sangat disayangkan sekali,1
kadang2 error,3
apps is user friendly. I just hate the extra service shots that I need to pay when using this platform,5
banyak lag,4
gagal terus pembayarannya,2
bugs,3
Gak jelas anjir mau bayar malah kelogout terus,2
Clean and simple app.,5
Welldone,5
"i experience the app request for login even when i had sucessfull login, but somehow the app ask for login again, multipletime. this is quite bothersome.",4
sering ngelag,3
Good boy,5
kenapa sekarang lebih ribet aplikasinya ketimbang yang dulu,3
Mau link gopay tapi error. Layar jadi abu-abu dan freeze di situ,1
make it easier.. do the update for the app. And the admin fees is too much.,4
aplikasi bioskop paling top dan efektif gampang penggunaannya,5
mantullll apps,5
ok,5
bug nya diperbaiki plis,4
udah bayar tapi gagal gmn ini?,2
good,5
Pertama agak bingung tp finally berhasil order,4
mudah digunakan,5
nice sudah normal lagi terima kasih,5
hanya bisa book untuk hari ini tidak bisa book untuk besok. perasaan versi yang lama bisa,2
"erorrrr, dibilang offline lah... filmnya cuma muncul satu.. udh gitu mau beli hari ini malah munculnya hari kemarin!",1
"apps ga jelas,check connection terus...",1
"tb tb lag, padahal mau nonton",1
"bikin emosi ni aplikasi, setiap pakai data seluler, selalu keluar pesan offline. baru bener kalau pakai wifi.",2
"idk whats wrong with this app, everytime i change my region to bekasi it always says that im offline, like many region said that im offline,jabodetabek,jakarta and sum are still working tho, idk whats wrong with the app, pls fix this bug",1
"ga bisa pilih tanggal.. tanggal ga bisa digeser sama sekali.. kemarin download cuma nampilin tanggal download, bahkan hari ini ga muncul.",1
"end user friendly,no need to worry about getting in line for tickets,lot of promo too",5
koneksi lagi bagus malah dibilang offline alias putus. Malah jadi susah lihat jadwal penayangan film. gmn sih? bisa diperbaiki gak?? semua orang juga butuh nonton film dan juga ngecek jadwalnya malah diginiin 😑😑,1
"tahun kemarin masih bisa bayar pakai Sakuku tanpa harus download app Sakuku cukup gunakan fitur Sakuku yg ada di app BCA mobile, tapi sekarang kok mau bayar pakai Sakuku makin ribet deh kudu download app Sakuku dulu 😌",3
tdk bisa booking untuk hari berikutnya,3
Bolak balik masukin PIN dan OTP,4
"mtix pliss itu riwayat ordernya diperbaiki, saya mau liat riwayat pernah order apa aja kok kosong ya, yg bulan ini, bulan lalu, 2 bulan yv lalu ga ada sama sekali",3
"pesen jam 00 untuk movie hari itu gak ada, dan kita gak diberi info kapan kita bisa booking. begitupun juga untuk apply promo, sudah coba dari 5 jam sampai 2 jam sebelum jam tayang movie tetep gak muncul, sekalinya muncul promo sudah habis.",1
"koneksi berulang terus, jaringan bagus tapi akses susah",2
"its a bit slow, i hope they improve it",4
server lemot,1
error terus,2
nice,5
"versi terakhir nya bermasalah. aplikasi tidak bisa dipakai. selalu muncul popup ""you seem to be offline"". mau pakai wifi atau data seluler juga sama muncul terus seperti itu.",1
Saldo gopay kepotong tapi status failed,1
sempat hang waktu proses pembayaran tolong diperbaiki,3
kereen,5
"Tolong diperbanyak lagi voucher dan diskonnya. Karena sebagai pelanggan setia, rasanya masih kurang benefit yang di dapat dengan memesan melalui m-tix. Saya harap kedepannya akan lebih banyak benefit yg bisa dirasakan oleh member.",4
you can't revise or reschedule what you have bought well that is really really horrible experience.,1
"lagi kejar target user baru ya, user lama tidak bisa login karena tidaj dapat sms verif Topup dari bca dihilangkan jadi makin susah top up",1
sms verification not received,1
mantap!,5
"Good, help me to get the ticket faster",5
"utk pembayaran via mva tap copy nya ada di posisi nilai rupiah , bukan di code va nya",5
so goodddd,5
bikin nggak ngantri,5
"kode verifikasi nya sangat lama, waktu yg diberikan 5 menit, tpi kode verivikasi diterima email lebih sangat lama dri waktu yg diberikan,..",1
"dulu topup harus via sakuku, sekarang via sakuku harus install aplikasi..bodoh sekali journey konsumennya dibuat ribet dan menu topup saldo bahkan sekarang tidak ada, hanya bisa e wallet atau card..sangat nanggung utk integrasi antara payment gateway yang lain",1
diupdate malah gagal terus beli lewat gopay 👎,1
jelek bgt registasi kirim otp sejam baru masuk email,1
nice apps,5
"so laggy, cant make any purchase, slow respond app",1
"gak bisa log in gagal terus, udah kirim ke 3 email yang beda tetep gak bisa. capek",1
"bad, create an account, otp always incorrect",1
oke,5
very easy to use,4
wowwww mantap apknya,5
Udah cepet proses paymentnya,5
"Ribet asli, tiap keluar aplikasi minta login. mana minta OTP",1
Sekarang udah bagus 👌👅🙏,5
1st time use the new version and always fail to purchase via gopay. charged gopay is returned less than 5 min later. finally use VA bank.,1
"When it fails link to gopay, the screen goes black.. no response. When you close the aplication and reopen, check the order.. it'freezed. Gotta wait 'till it expires.",2
nice,5
buset minta login mulu. terus tiap mau beli tiket kudu clearcache sama clear data. jelek banget woy,1
buat apa ada apps klo ga bs pesan ataupun lihat jadwal tayang untuk film selain hari H? dah gt pas mau payment pembelian tiket malah lola banget lagi,2
cool apps,5
"mau payment aja susah bgt, perlu unlink dulu dll, pake cc otp ga masuk, ribet euy",2
"ribet bgt keseringan logout, perlu verif terus",2
"sedang error datanya ya, email kode konfirmasi bertanggal 25 April 2006, padahal daftar 6 April 2025. registrasi gak bisa bisa jadinya",1
Good,5
"When the app is updated the movie show time are not being shown anymore. With the change, this app is then missing a point, jadi kurang berguna.",2
ada order fee yg cukup besar sayangnya,1
ribet skrg prosesnya bolak balik bolak balik cape inputnya,1
agak ribet...sering log out sendiri sehingga harua input ulang OTP,3
masih belum ada pilihan pembayaran untuk m banking bca,5
bagus,5
Bagus aku syukka,5
"utk kota jakarta tidak bisa menggunakan paket mobile data, harus wifi. mhn diperbaikik",3
opsi pembayaran qris tidak ada,4
easy and fun,5
good,5
hp saya online dan semua aplikasi tidak bermasalah. hanya mtix yg bilang kalau hp saya offline. saya install di hp lainnya juga sama. pesen tiket kalau loket belum buka tidak bisa ya? padahal hari H tapi studio juga tidak terlihat. pemutaran film hanya 1x sehari trus gmn belinya?,2
bit complicated process with current apps,3
Awesome!!,5
Agak ribet dari sebelum nya,3
udah order dan tinggal bayar. tiba2 pas bayar malah loading dan minta login lagi. ada pesanan aktif keterangan menunggu tinggal bayar. malah blank. coba pakai akun lain ternyata dislot tersebut sudah terisi. KOK BISA. kenapa harus ada status order aktif tidak bayar kalau slot tersebut sudah diisi. padahal pas order masih bisa. makin lama makin jelek aplikasinya.,1
"Crash Crash Crash and Not Responding, Libur lebaran mau nonton malahan Gatot... 🤣🤣🤣",1
Mudah tapi better tambahin metode payment nya,5
"super slow, sudah login, tapi keluar sediri, mau bayar gopay, sduah di link, pas bayar ga ada pillihaan gopay, akhirnya bayar debit..",1
simpel and helpfull,5
gasss,5
easy to use,5
mau bayar blank screen udah di close dibuka lagi sama aja HP mi13T,1
Sort by nearest cinema kadang-kadang tidak berfungsi.,5
amazing tools,5
"diboalk balik terus, lama proses nya",1
Agak susah nge connect ke akun Gopay. Tolong diperbaiki lagi di bagian kirim kode OTP sering tidak masuk.,4
mantap,5
"upgrade aplikasinya lebih baik, navigasi mudah dan sudah jarang bug",5
"terlalu ribet minta otp terus, makan pulsa",1
ease to use,5
"sering error, relogin or blank page",3
gampang sekali penggunaannya.,5
"Pontianak Tiketnya Mahal Kebangetan... Untuk ukuran bioskop reguler, IMAX bukan, the Premiere bukan, harga hari libur 70.000 padahal karyawan UMR nya rendah, Pontianak gak di kasi alternatif pilihan IMAX dg The Premiere krn merasa jual 70.000 az masih laki makanya di kasi theatre yg biasa az...",1
Many options to pay ticket and see movie schedule.,5
keren,5
ok,5
"hi, saran aku minimal top up saldo mtix jangan 100.000 itu kebesaran sih kalau bisa min top up 10.000, misal kalo mau pesen tiket ternyata lupa ada biaya admin 2-5 rb mau isi saldo nya ribet tadinya udah isi saldo sesuai harga tiket, alhasil pernah gajadi mesen, thankyou.",3
"stupid app, after updated cannot login",1
Gagal beli tiket tapi uang terkuras,1
"keep crashing, fix it first",1
apk lemot. by admin ketinggian.,1
nice,5
mantab,5
aplikasi baru shake hand ke payment nya lama,3
why always seem to be offline ???,1
fine by now,5
Lebih cepet tapi biaya admin mahal,5
"Apps nya sekarang maksa aktifkan Notifikasi, kakau engga, Apps nya Freeze. Nama Apps yg susah dicari jika lupa namanya. Tambahkan kata di apps nya seperti Cinema, 21, xxi, xx1 supaya user gampang menemukan di HP.",1
